Rank,University,Faculty Count,Publication Count
1,Carnegie Mellon University,174,20.6
2,Univ. of Illinois at Urbana-Champaign,113,14.7
3,Univ. of California - San Diego,130,13.1
4,Georgia Institute of Technology,145,11.6
5,Massachusetts Institute of Technology,96,11.5
6,Univ. of California - Berkeley,95,10.9
7,University of Michigan,102,10.8
8,University of Washington,82,10.6
9,Stanford University,68,10.4
10,Cornell University,84,9.9
11,University of Maryland - College Park,89,9.1
12,Northeastern University,87,8.3
13,University of Wisconsin - Madison,72,7.5
14,Purdue University,74,7.4
14,University of Texas at Austin,50,7.4
16,University of Pennsylvania,74,7.2
17,Columbia University,59,7.1
18,Princeton University,59,6.7
19,New York University,72,6.5
20,University of Massachusetts Amherst,62,6.0
21,University of Southern California,61,5.8
22,University of Chicago,48,5.7
23,Stony Brook University,62,5.6
23,Univ. of California - Los Angeles,43,5.6
25,Univ. of California - Irvine,75,5.2
26,Duke University,49,4.9
26,Rutgers University,50,4.9
26,Univ. of California - Santa Barbara,36,4.9
29,Univ. of California - Riverside,50,4.8
30,Pennsylvania State University,67,4.7
