Rank,University,Faculty Count,Publication Count
1,Univ. of Illinois at Urbana-Champaign,18,16.5
2,North Carolina State University,10,15.5
3,University of Utah,13,14.9
4,Georgia Institute of Technology,15,13.4
5,Ohio State University,12,10.8
6,Univ. of California - Riverside,10,10.6
7,Univ. of California - Merced,4,8.9
8,Rice University,2,8.4
9,University of Chicago,7,8.3
10,Northeastern University,4,8.0
11,Purdue University,7,7.7
12,University of Texas at Arlington,7,6.9
13,Indiana University,6,6.6
14,Virginia Tech,5,6.5
15,Illinois Institute of Technology,4,6.0
16,University of Minnesota,7,5.9
17,University of Georgia,4,5.8
18,Univ. of California - Berkeley,5,5.3
19,University of Maryland - College Park,2,5.2
20,Northwestern University,6,4.9
20,University of Massachusetts Amherst,5,4.9
20,University of Tennessee,2,4.9
23,Stanford University,6,4.8
23,University of Iowa,3,4.8
25,Univ. of California - Irvine,7,4.7
25,University of Houston,2,4.7
27,Florida State University,3,4.2
27,University of Delaware,5,4.2
27,University of Virginia,8,4.2
27,Washington State University,4,4.2
