Rank,University,Faculty Count,Publication Count
1,Northeastern University,8,15.0
2,Univ. of California - San Diego,9,13.3
3,Georgia Institute of Technology,17,12.0
4,Carnegie Mellon University,12,9.8
5,University of Massachusetts Amherst,8,9.0
6,Pennsylvania State University,10,8.3
7,Massachusetts Institute of Technology,8,7.3
8,University of Michigan,9,7.2
9,Columbia University,9,6.9
10,Ohio State University,6,6.5
11,Univ. of Illinois at Urbana-Champaign,10,6.3
12,California Institute of Technology,2,6.2
13,Stony Brook University,8,6.1
13,Univ. of California - Riverside,8,6.1
15,University of Southern California,4,6.0
15,University of Wisconsin - Madison,8,6.0
17,University of Chicago,4,5.9
18,University of Maryland - College Park,6,5.6
19,University of Washington,6,5.1
20,Princeton University,8,4.6
21,Northwestern University,4,4.5
22,Purdue University,8,4.3
23,University of Texas at Austin,3,4.1
24,Stanford University,2,4.0
25,Univ. of California - Davis,4,3.8
26,Boston University,4,3.7
27,Duke University,4,3.5
28,Cornell University,4,3.4
28,Johns Hopkins University,3,3.4
30,North Carolina State University,2,3.3
30,Virginia Tech,5,3.3
