Rank,University,Faculty Count,Publication Count
1,Carnegie Mellon University,174,20.6
2,Univ. of Illinois at Urbana-Champaign,113,14.7
3,Univ. of California - San Diego,130,13.1
4,Tsinghua University,135,12.5
5,Georgia Institute of Technology,145,11.6
6,Massachusetts Institute of Technology,96,11.5
7,Univ. of California - Berkeley,95,10.9
8,University of Michigan,102,10.8
9,ETH Zurich,47,10.7
10,University of Washington,82,10.6
11,Stanford University,68,10.4
12,Cornell University,84,9.9
13,University of Maryland - College Park,89,9.1
14,Peking University,135,8.9
15,University of Toronto,101,8.7
16,National University of Singapore,78,8.3
16,Northeastern University,87,8.3
18,Shanghai Jiao Tong University,156,8.2
19,KAIST,96,7.5
19,University of Wisconsin - Madison,72,7.5
21,Purdue University,74,7.4
21,University of Texas at Austin,50,7.4
23,University of Pennsylvania,74,7.2
24,Columbia University,59,7.1
25,University of Waterloo,97,7.0
26,Princeton University,59,6.7
27,Max Planck Society,41,6.6
28,New York University,72,6.5
29,EPFL,62,6.3
30,University of Massachusetts Amherst,62,6.0
