rank,institution,rank_AI,rank_Systems,rank_Theory,rank_Interdisciplinary_Areas,rank_Architecture,rank_Network,rank_Database,rank_HPC,rank_metrics,rank_Operating_System,rank_Programming_Language
1.0,ETH Zurich,2.0,1.0,8.0,1.0,1.0,1.0,6.0,1.0,4.0,2.0,2.0
2.0,Max Planck Society,5.0,3.0,3.0,4.0,14.0,6.0,,22.0,2.0,4.0,1.0
3.0,EPFL,4.0,2.0,11.0,14.0,3.0,2.0,3.0,,5.0,1.0,22.0
4.0,Technion,1.0,4.0,9.0,17.0,2.0,4.0,12.0,22.0,11.0,6.0,13.0
4.0,Tel Aviv University,7.0,10.0,2.0,5.0,8.0,22.0,9.0,15.0,,6.0,9.0
4.0,University of Edinburgh,6.0,4.0,17.0,6.0,7.0,11.0,2.0,6.0,,11.0,6.0
7.0,TU Munich,19.0,7.0,,3.0,20.0,27.0,1.0,2.0,8.0,,
8.0,Imperial College London,9.0,4.0,,,11.0,27.0,14.0,,10.0,3.0,4.0
9.0,University College London,13.0,14.0,,2.0,,3.0,,,17.0,11.0,
9.0,University of Oxford,8.0,19.0,12.0,14.0,,,16.0,,,,7.0
11.0,TU Delft,16.0,7.0,,8.0,16.0,15.0,,22.0,1.0,,24.0
12.0,Hebrew University of Jerusalem,10.0,30.0,4.0,,,5.0,18.0,,29.0,8.0,
12.0,TU Darmstadt,14.0,7.0,,22.0,,11.0,8.0,18.0,28.0,,
12.0,University of Cambridge,18.0,10.0,,22.0,8.0,7.0,,22.0,13.0,10.0,5.0
15.0,Saarland University,28.0,12.0,,17.0,25.0,,21.0,30.0,,,16.0
16.0,Aarhus University,,19.0,7.0,16.0,,,20.0,,,,3.0
17.0,CISPA Helmholtz Center,,14.0,5.0,,,,,,8.0,,
18.0,Bar-Ilan University,15.0,,15.0,,,,24.0,,,,
18.0,RWTH Aachen University,,,21.0,12.0,,,,30.0,20.0,,
18.0,Sapienza University of Rome,17.0,,,28.0,23.0,,30.0,,29.0,18.0,
18.0,TU Berlin,,27.0,,10.0,,10.0,7.0,,7.0,,
18.0,TU Wien,,19.0,26.0,22.0,,,,30.0,29.0,,
18.0,Universidade de Lisboa,24.0,14.0,,17.0,15.0,11.0,,,,5.0,26.0
18.0,University of Copenhagen,11.0,,25.0,,,,25.0,22.0,,,28.0
25.0,IST Austria,,,6.0,,,,,,,18.0,10.0
25.0,University of Amsterdam,3.0,,,,,,23.0,,,,
25.0,University of Stuttgart,,19.0,,28.0,25.0,,,22.0,,,
25.0,University of Warwick,28.0,,14.0,,,,10.0,12.0,19.0,,
29.0,Aalto University,,,,10.0,,,,,,,
29.0,Graz University of Technology,,,,12.0,,,,9.0,,,
29.0,King's College London,26.0,,26.0,,,,,,,,
29.0,LMU Munich,12.0,,,,,,,,,,
29.0,University of Bristol,,,26.0,21.0,,,,,,,21.0
