Rank,University,Faculty Count,Publication Count
1,University of Waterloo,21,30.9
2,Simon Fraser University,7,11.2
3,University of Toronto,7,10.3
4,University of British Columbia,5,9.3
5,University of Victoria,4,5.8
6,Carleton University,2,2.7
7,York University,2,2.5
8,Concordia University,1,2.2
9,McGill University,1,1.8
10,McMaster University,1,1.7
10,Western University,1,1.7
12,University of Montreal,2,1.4
13,Queen’s University,1,1.3
13,University of Guelph,1,1.3
13,Université du Québec à Montréal,1,1.3
16,University of Manitoba,1,1.2
16,University of Ottawa,1,1.2
