Rank,University,Faculty Count,Publication Count
1,University of Waterloo,48,4.9
2,University of Toronto,37,4.3
3,University of British Columbia,26,3.0
4,Simon Fraser University,16,2.6
5,Concordia University,10,1.4
6,Carleton University,8,1.3
6,McGill University,5,1.3
6,University of Calgary,6,1.3
6,University of Victoria,8,1.3
6,York University,6,1.3
11,Dalhousie University,3,1.2
11,Queen’s University,5,1.2
11,University of Guelph,4,1.2
14,McMaster University,4,1.1
14,University of Alberta,6,1.1
14,University of Manitoba,3,1.1
14,University of Montreal,3,1.1
14,University of Saskatchewan,1,1.1
19,Ontario Tech University,1,1.0
19,Polytechnique Montreal,2,1.0
19,University of Ottawa,1,1.0
19,University of Regina,1,1.0
19,Université du Québec à Montréal,1,1.0
19,Western University,1,1.0
