Rank,University,Faculty Count,Publication Count
1,Technion,50,28.6
2,ETH Zurich,32,25.9
3,University of Amsterdam,26,24.2
4,EPFL,39,24.0
5,Max Planck Society,18,21.6
6,University of Edinburgh,49,19.9
7,Tel Aviv University,24,17.0
8,University of Oxford,32,16.9
9,Imperial College London,31,16.2
10,Hebrew University of Jerusalem,35,15.4
11,University of Copenhagen,29,14.5
12,LMU Munich,14,13.5
13,University College London,26,12.1
14,TU Darmstadt,7,11.9
15,Bar-Ilan University,18,11.6
16,TU Delft,40,11.3
17,Sapienza University of Rome,27,11.2
18,University of Cambridge,25,10.4
19,TU Munich,27,9.8
20,University of Surrey,21,9.3
20,University of Trento,13,9.3
22,University of Tübingen,24,8.6
23,Queen Mary University of London,19,8.1
24,Universidade de Lisboa,35,7.7
25,Ben-Gurion University of the Negev,18,7.6
26,Cardiff University,16,7.3
26,King's College London,26,7.3
28,Saarland University,17,7.0
28,University of Liverpool,32,7.0
28,University of Warwick,23,7.0
