Rank,University,Faculty Count,Publication Count
1,TU Delft,7,8.5
2,Max Planck Society,4,6.2
3,IMDEA Networks Institute,5,5.7
4,ETH Zurich,6,4.9
5,EPFL,7,4.8
6,Queen Mary University of London,5,3.9
7,TU Berlin,2,3.6
8,CISPA Helmholtz Center,4,3.2
8,TU Munich,4,3.2
10,Imperial College London,3,3.1
11,Technion,6,2.9
12,Brandenburg University of Technology,1,2.8
13,Lancaster University,2,2.7
13,University of Cambridge,6,2.7
13,University of Crete,2,2.7
16,VU Amsterdam,3,2.6
17,TU Dresden,2,2.5
17,University College London,6,2.5
19,University of Warwick,1,2.4
20,RWTH Aachen University,2,2.1
21,TU Kaiserslautern,1,2.0
21,University of Strathclyde,2,2.0
21,University of Surrey,1,2.0
24,Ecole Normale Superieure de Lyon,2,1.8
24,KTH Royal Institute of Technology,2,1.8
24,University of Glasgow,1,1.8
27,NTUA,2,1.6
28,TU Darmstadt,2,1.5
29,Hebrew University of Jerusalem,2,1.4
29,IMDEA Software Institute,1,1.4
29,Polytechnic University of Catalonia,2,1.4
29,Sapienza University of Rome,1,1.4
29,TU Wien,2,1.4
29,University of Twente,1,1.4
