Rank,University,Faculty Count,Publication Count
1,ETH Zurich,10,8.8
2,EPFL,5,7.7
3,University College London,4,5.5
4,Technion,11,5.0
5,Hebrew University of Jerusalem,4,4.2
6,Max Planck Society,5,3.7
7,University of Cambridge,8,3.2
8,KTH Royal Institute of Technology,4,2.9
9,Politecnico di Milano,2,2.6
10,TU Berlin,2,2.3
11,TU Darmstadt,2,2.2
11,Universidade de Lisboa,2,2.2
11,University of Edinburgh,2,2.2
14,Goethe University Frankfurt,1,2.0
15,TU Delft,4,1.8
15,University of Kent,1,1.8
17,Hamburg University of Technology,1,1.5
17,Humboldt University of Berlin,1,1.5
17,IMDEA Networks Institute,2,1.5
17,Lancaster University,1,1.5
17,VU Amsterdam,2,1.5
22,Queen Mary University of London,3,1.4
22,TU Dortmund,1,1.4
22,Tel Aviv University,2,1.4
25,Cyprus University of Technology,1,1.3
25,University of Göttingen,2,1.3
27,Ariel University,1,1.2
27,Imperial College London,2,1.2
27,TU Dresden,1,1.2
27,TU Munich,1,1.2
27,University of Lübeck,1,1.2
27,University of St Andrews,1,1.2
27,Università della Svizzera italiana,1,1.2
