Rank,University,Faculty Count,Publication Count
1,EPFL,7,7.1
2,ETH Zurich,7,5.5
3,Imperial College London,4,3.1
4,Max Planck Society,6,2.8
5,Universidade de Lisboa,6,2.7
6,Technion,5,2.5
6,Tel Aviv University,2,2.5
8,Hebrew University of Jerusalem,1,2.3
9,VU Amsterdam,3,2.0
10,University of Cambridge,3,1.5
11,Lancaster University,1,1.3
11,TU Dresden,2,1.3
11,University College London,2,1.3
11,University of Edinburgh,1,1.3
11,University of Trento,1,1.3
16,KTH Royal Institute of Technology,1,1.2
16,Politecnico di Milano,1,1.2
18,Chalmers/GU,1,1.1
18,Hamburg University of Technology,1,1.1
18,IMDEA Software Institute,1,1.1
18,IST Austria,1,1.1
18,Royal Holloway University of London,1,1.1
18,Sapienza University of Rome,1,1.1
18,TU Braunschweig,1,1.1
18,University of Hannover,1,1.1
18,University of Osnabrück,1,1.1
