Rank,University,Faculty Count,Publication Count
1,Max Planck Society,9,21.7
2,ETH Zurich,12,18.0
3,Aarhus University,7,13.1
4,Imperial College London,8,12.2
5,University of Cambridge,8,11.3
6,University of Edinburgh,15,8.4
7,University of Oxford,8,8.3
8,University of Kent,9,7.1
9,Tel Aviv University,5,7.0
10,IST Austria,3,6.7
11,IMDEA Software Institute,6,6.5
12,KU Leuven,4,6.0
13,Radboud University,2,5.8
13,Technion,5,5.8
15,Chalmers/GU,9,5.6
16,Ecole Normale Superieure,6,4.9
16,Saarland University,4,4.9
16,Uppsala University,6,4.9
19,Ecole Normale Superieure de Lyon,5,4.8
20,IT University of Copenhagen,6,4.6
21,University of Bristol,3,4.5
22,EPFL,5,4.4
23,University of Freiburg,2,4.2
24,TU Delft,5,4.1
25,Royal Holloway University of London,5,3.8
26,Universidade de Lisboa,4,3.7
27,University of Wroclaw,3,3.6
28,University of Birmingham,3,3.3
28,University of Copenhagen,3,3.3
28,University of Strathclyde,3,3.3
