Rank,University,Faculty Count,Publication Count
1,University of Warsaw,25,14.9
2,Tel Aviv University,23,13.9
3,Max Planck Society,15,13.6
4,Hebrew University of Jerusalem,21,12.1
5,CISPA Helmholtz Center,13,11.5
6,IST Austria,9,11.2
7,Aarhus University,17,11.1
8,ETH Zurich,15,11.0
9,Technion,23,10.4
10,Weizmann Institute of Science,13,9.2
11,EPFL,15,9.0
12,University of Oxford,23,8.9
13,Ecole Normale Superieure de Lyon,16,8.5
14,University of Warwick,14,8.0
15,Bar-Ilan University,11,7.4
16,Ecole Normale Superieure,12,7.1
17,University of Edinburgh,12,6.9
18,Ruhr-University Bochum,11,4.7
19,University of Liverpool,17,4.6
20,University of Wroclaw,16,4.4
21,IT University of Copenhagen,10,4.3
21,RWTH Aachen University,7,4.3
23,Radboud University,10,4.1
23,University of Haifa,10,4.1
25,University of Copenhagen,10,4.0
26,DTU,7,3.9
26,King's College London,7,3.9
26,TU Wien,13,3.9
26,University of Birmingham,13,3.9
26,University of Bristol,9,3.9
