Rank,University,Faculty Count,Publication Count
1,Univ. of California - Berkeley,19,26.8
2,University of Chicago,13,25.2
3,Carnegie Mellon University,22,23.4
4,Duke University,12,23.0
5,Massachusetts Institute of Technology,16,20.1
6,Univ. of California - San Diego,15,18.2
7,Cornell University,9,17.8
8,University of Michigan,13,17.4
9,Georgia Institute of Technology,19,15.2
10,University of Washington,6,15.0
11,Univ. of California - Santa Barbara,9,14.9
12,University of Wisconsin - Madison,13,14.6
13,Univ. of California - Irvine,7,14.4
14,Northeastern University,8,12.9
15,University of Maryland - College Park,7,11.7
15,University of Texas at Arlington,6,11.7
17,University of Pennsylvania,9,11.3
18,Univ. of Illinois at Urbana-Champaign,16,11.0
19,Ohio State University,9,10.9
20,Pennsylvania State University,11,10.8
21,Harvard University,4,10.4
22,Univ. of California - Riverside,11,10.2
23,Stanford University,11,10.0
24,Columbia University,5,9.9
25,Purdue University,7,9.6
26,University at Buffalo,13,9.1
27,Boston University,9,9.0
27,Rutgers University,5,9.0
27,Worcester Polytechnic Institute,5,9.0
30,University of Illinois at Chicago,5,8.9
30,University of Southern California,9,8.9
