Rank,University,Faculty Count,Publication Count
1,Carnegie Mellon University,15,21.3
2,Massachusetts Institute of Technology,14,17.9
3,University of Wisconsin - Madison,11,16.3
4,Cornell University,9,15.6
5,University of Pennsylvania,17,15.2
6,Univ. of Illinois at Urbana-Champaign,15,13.8
7,Purdue University,12,12.3
8,University of Texas at Austin,8,11.9
9,University of Utah,9,10.2
10,Stanford University,9,10.1
11,Princeton University,4,9.3
12,Univ. of California - San Diego,8,9.2
13,University of Washington,9,8.9
14,Northeastern University,9,7.9
15,Univ. of California - Los Angeles,6,7.4
16,University of Maryland - College Park,6,7.0
17,Indiana University,5,6.8
18,New York University,6,6.5
18,Stevens Institute of Technology,4,6.5
20,Rutgers University,3,5.9
21,Georgia Institute of Technology,5,5.7
21,University of Michigan,13,5.7
23,Pennsylvania State University,7,5.4
24,Univ. of California - Santa Barbara,7,5.3
24,Yale University,3,5.3
26,Harvard University,2,5.2
27,Northwestern University,7,4.3
28,Univ. of California - Berkeley,8,4.2
28,University of Colorado Boulder,3,4.2
30,University of Massachusetts Amherst,6,3.7
30,University of Southern California,3,3.7
