Rank,University,Faculty Count,Publication Count
1,Univ. of Illinois at Urbana-Champaign,70,13.2
2,Carnegie Mellon University,83,12.9
3,Univ. of California - San Diego,61,9.9
4,University of Michigan,50,9.5
5,Massachusetts Institute of Technology,50,8.8
6,Georgia Institute of Technology,68,8.4
7,Univ. of California - Berkeley,50,8.3
8,Purdue University,44,7.3
9,Univ. of California - Riverside,36,7.0
9,University of Wisconsin - Madison,42,7.0
11,University of Washington,37,6.5
12,Northeastern University,42,6.4
12,University of Chicago,33,6.4
14,University of Texas at Austin,30,6.2
15,Cornell University,39,6.1
16,Pennsylvania State University,39,5.3
17,Stanford University,32,5.2
17,Univ. of California - Irvine,39,5.2
17,University of Pennsylvania,34,5.2
20,Columbia University,33,5.1
20,North Carolina State University,39,5.1
20,University of Maryland - College Park,35,5.1
23,Princeton University,26,4.9
24,University of Southern California,27,4.7
25,Duke University,27,4.6
25,University of Massachusetts Amherst,34,4.6
27,Ohio State University,31,4.5
27,Univ. of California - Santa Barbara,21,4.5
29,Stony Brook University,38,4.2
29,Univ. of California - Los Angeles,21,4.2
