Rank,University,Faculty Count,Publication Count
1,Carnegie Mellon University,28,21.5
2,Univ. of Illinois at Urbana-Champaign,20,17.3
3,Univ. of California - Berkeley,22,16.4
4,Massachusetts Institute of Technology,24,16.3
5,University of Texas at Austin,15,14.8
6,University of Washington,17,14.6
7,Stanford University,19,13.8
8,Cornell University,16,13.3
9,New York University,18,13.2
10,Northeastern University,13,12.0
11,Univ. of California - Los Angeles,8,11.6
12,University of Michigan,17,10.8
13,Univ. of California - San Diego,18,10.4
14,University of Wisconsin - Madison,11,9.6
15,Georgia Institute of Technology,14,9.3
15,Princeton University,15,9.3
17,Columbia University,17,8.8
18,Purdue University,16,8.4
19,University of Pennsylvania,18,8.0
20,Yale University,12,7.5
21,Univ. of California - Santa Barbara,6,6.0
22,University of Maryland - College Park,12,5.6
23,Boston University,10,5.5
23,Johns Hopkins University,5,5.5
25,Stony Brook University,7,5.2
26,University of Southern California,10,4.2
27,Rutgers University,13,4.1
28,Georgetown University,5,3.9
28,Harvard University,11,3.9
28,University of Chicago,10,3.9
