Rank,University,Faculty Count,Publication Count
1,Univ. of Illinois at Urbana-Champaign,23,44.5
2,University of Michigan,23,42.5
3,Georgia Institute of Technology,15,26.5
4,Massachusetts Institute of Technology,13,26.3
5,Pennsylvania State University,16,21.7
6,University of Wisconsin - Madison,13,19.6
7,Purdue University,12,19.5
8,KAIST,10,18.3
9,University of Toronto,12,18.0
10,Carnegie Mellon University,17,17.7
11,Princeton University,8,17.6
12,North Carolina State University,10,16.3
13,Shanghai Jiao Tong University,22,16.1
14,Univ. of California - San Diego,15,16.0
15,University of Chicago,9,15.7
16,Univ. of California - Riverside,9,15.6
17,ETH Zurich,8,14.9
18,Stanford University,15,14.8
19,Seoul National University,9,14.4
20,Cornell University,11,13.7
21,Univ. of California - Santa Barbara,6,13.3
22,University of Virginia,7,12.8
23,Yale University,9,12.6
24,Technion,11,12.0
25,EPFL,13,11.9
26,University of British Columbia,6,10.5
26,Uppsala University,4,10.5
28,University of Rochester,8,10.3
28,University of Washington,10,10.3
30,University of Pennsylvania,7,10.2
