Rank,University,Faculty Count,Publication Count
1,Northeastern University,8,15.0
2,Univ. of California - San Diego,9,13.3
3,Georgia Institute of Technology,17,12.0
4,Carnegie Mellon University,12,9.8
5,University of Massachusetts Amherst,8,9.0
6,TU Delft,7,8.5
7,Pennsylvania State University,10,8.3
8,Massachusetts Institute of Technology,8,7.3
9,University of Michigan,9,7.2
10,Columbia University,9,6.9
11,Ohio State University,6,6.5
12,Univ. of Illinois at Urbana-Champaign,10,6.3
13,California Institute of Technology,2,6.2
13,Max Planck Society,4,6.2
15,Stony Brook University,8,6.1
15,Univ. of California - Riverside,8,6.1
17,University of Southern California,4,6.0
17,University of Wisconsin - Madison,8,6.0
19,University of Chicago,4,5.9
20,IMDEA Networks Institute,5,5.7
20,Tsinghua University,17,5.7
22,University of Maryland - College Park,6,5.6
23,University of Washington,6,5.1
24,ETH Zurich,6,4.9
25,EPFL,7,4.8
26,Princeton University,8,4.6
27,Northwestern University,4,4.5
27,University of Waikato,3,4.5
29,KAIST,6,4.4
30,Purdue University,8,4.3
