Rank,University,Faculty Count,Publication Count
1,Carnegie Mellon University,97,23.3
2,University of Maryland - College Park,46,13.9
3,Stanford University,39,13.6
4,University of Toronto,40,13.1
5,Georgia Institute of Technology,65,12.5
6,University of Washington,50,11.7
7,Massachusetts Institute of Technology,42,11.5
8,Tsinghua University,47,10.5
9,Univ. of California - San Diego,54,10.3
10,Cornell University,43,9.6
11,Univ. of California - Berkeley,52,8.2
12,ETH Zurich,23,8.1
13,Univ. of Illinois at Urbana-Champaign,49,7.6
14,University of Michigan,41,7.2
15,Northeastern University,50,6.9
16,KAIST,43,6.8
17,Princeton University,23,6.6
18,Peking University,40,6.4
18,University College London,28,6.4
20,Columbia University,17,6.1
20,TU Munich,30,6.1
20,University of Pennsylvania,38,6.1
23,University of Utah,29,5.9
23,University of Waterloo,21,5.9
25,Simon Fraser University,26,5.8
25,Zhejiang University,44,5.8
27,George Mason University,24,5.7
28,University of British Columbia,24,5.6
29,New York University,23,5.5
29,Purdue University,30,5.5
29,University of Tokyo,24,5.5
