Rank,University,Faculty Count,Publication Count
1,Max Planck Society,9,21.7
2,Carnegie Mellon University,15,21.3
3,ETH Zurich,12,18.0
4,Massachusetts Institute of Technology,14,17.9
5,University of Wisconsin - Madison,11,16.3
6,Cornell University,9,15.6
7,University of Pennsylvania,17,15.2
8,Univ. of Illinois at Urbana-Champaign,15,13.8
9,Aarhus University,7,13.1
10,Purdue University,12,12.3
11,Imperial College London,8,12.2
12,University of Texas at Austin,8,11.9
13,University of Cambridge,8,11.3
14,University of Utah,9,10.2
15,Stanford University,9,10.1
16,University of Toronto,6,9.5
17,Princeton University,4,9.3
18,Univ. of California - San Diego,8,9.2
19,National University of Singapore,10,9.1
20,University of Washington,9,8.9
21,Nanjing University,10,8.8
22,University of Edinburgh,15,8.4
23,University of Oxford,8,8.3
24,KAIST,5,8.2
25,Northeastern University,9,7.9
26,Univ. of California - Los Angeles,6,7.4
27,University of Kent,9,7.1
28,Tel Aviv University,5,7.0
28,University of Maryland - College Park,6,7.0
30,Indiana University,5,6.8
