Rank,University,Faculty Count,Publication Count
1,Carnegie Mellon University,28,21.5
2,Univ. of Illinois at Urbana-Champaign,20,17.3
3,Univ. of California - Berkeley,22,16.4
4,Massachusetts Institute of Technology,24,16.3
5,University of Warsaw,25,14.9
6,University of Texas at Austin,15,14.8
7,University of Washington,17,14.6
8,Tel Aviv University,23,13.9
9,Stanford University,19,13.8
10,Max Planck Society,15,13.6
11,Cornell University,16,13.3
12,New York University,18,13.2
13,University of Toronto,15,12.9
14,Hebrew University of Jerusalem,21,12.1
15,Northeastern University,13,12.0
16,Univ. of California - Los Angeles,8,11.6
17,CISPA Helmholtz Center,13,11.5
18,IST Austria,9,11.2
19,Aarhus University,17,11.1
20,ETH Zurich,15,11.0
21,University of Michigan,17,10.8
21,University of Waterloo,22,10.8
23,Technion,23,10.4
23,Univ. of California - San Diego,18,10.4
25,University of Wisconsin - Madison,11,9.6
26,Georgia Institute of Technology,14,9.3
26,Princeton University,15,9.3
28,Weizmann Institute of Science,13,9.2
29,EPFL,15,9.0
30,University of Oxford,23,8.9
