rank,institution
1,University of Waterloo
2,University of Toronto
3,University of British Columbia
4,Simon Fraser University
5,Concordia University
6,Carleton University
6,McGill University
6,University of Calgary
6,University of Victoria
6,York University
11,Dalhousie University
11,Queen’s University
11,University of Guelph
14,McMaster University
14,University of Alberta
14,University of Manitoba
14,University of Montreal
14,University of Saskatchewan
19,Ontario Tech University
19,Polytechnique Montreal
19,University of Ottawa
19,University of Regina
19,Université du Québec à Montréal
19,Western University
