rank,institution
1,ETH Zurich
2,Technion
3,EPFL
4,Uppsala University
5,University of Murcia
6,Polytechnic University of Catalonia
7,University of Edinburgh
8,Tel Aviv University
8,University of Cambridge
10,NTNU
11,Imperial College London
12,VU Amsterdam
13,University of Athens
14,Max Planck Society
15,Universidade de Lisboa
16,TU Delft
17,University of Liverpool
18,NTUA
19,Chalmers/GU
20,KTH Royal Institute of Technology
20,TU Dresden
20,TU Munich
23,Queen's University Belfast
23,Sapienza University of Rome
25,Bilkent University
25,Mälardalen University
25,Saarland University
25,University of Kent
25,University of Stuttgart
25,Università della Svizzera italiana
25,Özyeğin University
