rank,institution
1,Univ. of California - Berkeley
2,University of Chicago
3,Carnegie Mellon University
4,Duke University
5,Massachusetts Institute of Technology
6,Univ. of California - San Diego
7,Cornell University
8,University of Michigan
9,Georgia Institute of Technology
10,University of Washington
11,Univ. of California - Santa Barbara
12,University of Wisconsin - Madison
13,Univ. of California - Irvine
14,Northeastern University
15,University of Maryland - College Park
15,University of Texas at Arlington
17,University of Pennsylvania
18,Univ. of Illinois at Urbana-Champaign
19,Ohio State University
20,Pennsylvania State University
21,Harvard University
22,Univ. of California - Riverside
23,Stanford University
24,Columbia University
25,Purdue University
26,University at Buffalo
27,Boston University
27,Rutgers University
27,Worcester Polytechnic Institute
30,University of Illinois at Chicago
30,University of Southern California
