rank,institution
1,Univ. of Illinois at Urbana-Champaign
2,North Carolina State University
3,University of Utah
4,Georgia Institute of Technology
5,Ohio State University
6,Univ. of California - Riverside
7,Univ. of California - Merced
8,Rice University
9,University of Chicago
10,Northeastern University
11,Purdue University
12,University of Texas at Arlington
13,Indiana University
14,Virginia Tech
15,Illinois Institute of Technology
16,University of Minnesota
17,University of Georgia
18,Univ. of California - Berkeley
19,University of Maryland - College Park
20,Northwestern University
20,University of Massachusetts Amherst
20,University of Tennessee
23,Stanford University
23,University of Iowa
25,Univ. of California - Irvine
25,University of Houston
27,Florida State University
27,University of Delaware
27,University of Virginia
27,Washington State University
