rank,institution
1,Massachusetts Institute of Technology
2,Univ. of California - Berkeley
3,Carnegie Mellon University
4,University of Wisconsin - Madison
5,University of Washington
6,Columbia University
7,University of Texas at Austin
8,University of Michigan
9,New York University
9,University of Pennsylvania
11,Univ. of Illinois at Urbana-Champaign
12,Georgia Institute of Technology
13,Univ. of California - San Diego
13,University of Chicago
15,Cornell University
15,Princeton University
17,Stanford University
18,Purdue University
19,Pennsylvania State University
20,Stony Brook University
21,Univ. of California - Los Angeles
22,Harvard University
23,Univ. of California - Santa Barbara
23,Yale University
25,Univ. of California - Santa Cruz
25,University of Southern California
25,Virginia Tech
28,Brown University
28,University of Utah
30,Northeastern University
30,Ohio State University
30,University of Massachusetts Amherst
