rank,institution
1,Carnegie Mellon University
2,University of Maryland - College Park
3,Stanford University
4,Georgia Institute of Technology
5,University of Washington
6,Massachusetts Institute of Technology
7,Univ. of California - San Diego
8,Cornell University
9,Univ. of California - Berkeley
10,Univ. of Illinois at Urbana-Champaign
11,University of Michigan
12,Northeastern University
13,Princeton University
14,Columbia University
14,University of Pennsylvania
16,University of Utah
17,George Mason University
18,New York University
18,Purdue University
20,Texas A&M University
21,Brown University
21,University of Minnesota
21,University of Wisconsin - Madison
24,Stony Brook University
24,University of Massachusetts Amherst
26,Rutgers University
27,Northwestern University
27,University of Colorado Boulder
29,University of Southern California
30,Harvard University
