rank,institution
1,Univ. of Illinois at Urbana-Champaign
2,Carnegie Mellon University
3,Univ. of California - San Diego
4,University of Michigan
5,Massachusetts Institute of Technology
6,Georgia Institute of Technology
7,Univ. of California - Berkeley
8,Purdue University
9,Univ. of California - Riverside
9,University of Wisconsin - Madison
11,University of Washington
12,Northeastern University
12,University of Chicago
14,University of Texas at Austin
15,Cornell University
16,Pennsylvania State University
17,Stanford University
17,Univ. of California - Irvine
17,University of Pennsylvania
20,Columbia University
20,North Carolina State University
20,University of Maryland - College Park
23,Princeton University
24,University of Southern California
25,Duke University
25,University of Massachusetts Amherst
27,Ohio State University
27,Univ. of California - Santa Barbara
29,Stony Brook University
29,Univ. of California - Los Angeles
