rank,institution
1,Tsinghua University
2,Carnegie Mellon University
3,Peking University
4,Chinese Academy of Sciences
5,Shanghai Jiao Tong University
6,Univ. of Illinois at Urbana-Champaign
7,Zhejiang University
8,Cornell University
9,Nanyang Technological University
10,KAIST
11,National University of Singapore
12,Stanford University
13,Nanjing University
14,University of Maryland - College Park
15,Univ. of California - San Diego
16,Harbin Institute of Technology
17,HKUST
17,Renmin University of China
19,Georgia Institute of Technology
20,Univ. of California - Berkeley
21,MBZUAI
22,Fudan University
23,University of Massachusetts Amherst
23,University of Michigan
25,Chinese University of Hong Kong
26,Univ. of California - Los Angeles
26,University of Washington
28,Massachusetts Institute of Technology
29,Technion
30,ETH Zurich
