rank,institution
1,Massachusetts Institute of Technology
2,Shanghai Jiao Tong University
3,Univ. of California - Berkeley
4,Carnegie Mellon University
5,University of Wisconsin - Madison
6,University of Washington
7,Columbia University
8,University of Texas at Austin
9,EPFL
10,University of Michigan
11,University of Toronto
12,Tsinghua University
13,ETH Zurich
14,New York University
14,University of Pennsylvania
16,Univ. of Illinois at Urbana-Champaign
17,Georgia Institute of Technology
18,Univ. of California - San Diego
18,University of Chicago
20,Cornell University
20,Princeton University
22,Stanford University
23,Purdue University
24,Pennsylvania State University
25,Peking University
26,Stony Brook University
27,Imperial College London
28,Univ. of California - Los Angeles
29,Harvard University
30,Max Planck Society
30,National University of Singapore
30,University of Waterloo
