rank,institution
1,Univ. of Illinois at Urbana-Champaign
2,Carnegie Mellon University
3,ETH Zurich
4,Univ. of California - San Diego
5,University of Michigan
6,Tsinghua University
7,Massachusetts Institute of Technology
8,Georgia Institute of Technology
9,Univ. of California - Berkeley
10,National University of Singapore
11,Purdue University
11,Shanghai Jiao Tong University
13,Univ. of California - Riverside
13,University of Wisconsin - Madison
15,Peking University
16,KAIST
16,University of Washington
18,Northeastern University
18,University of Chicago
20,University of Texas at Austin
21,Cornell University
22,EPFL
23,Pennsylvania State University
24,Stanford University
24,Univ. of California - Irvine
24,University of Pennsylvania
27,Columbia University
27,North Carolina State University
27,University of Maryland - College Park
30,Princeton University
30,University of Waterloo
