rank,institution
1,Carnegie Mellon University
2,Univ. of Illinois at Urbana-Champaign
3,Univ. of California - Berkeley
4,Massachusetts Institute of Technology
5,University of Warsaw
6,University of Texas at Austin
7,University of Washington
8,Tel Aviv University
9,Stanford University
10,Max Planck Society
11,Cornell University
12,New York University
13,University of Toronto
14,Hebrew University of Jerusalem
15,Northeastern University
16,Univ. of California - Los Angeles
17,CISPA Helmholtz Center
18,IST Austria
19,Aarhus University
20,ETH Zurich
21,University of Michigan
21,University of Waterloo
23,Technion
23,Univ. of California - San Diego
25,University of Wisconsin - Madison
26,Georgia Institute of Technology
26,Princeton University
28,Weizmann Institute of Science
29,EPFL
30,University of Oxford
